所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
四川,自贡,"4,373.13",280,640.39,885,2012,3.16,,,,,,,,,104.7763519,29.36772156,Si Chuan ,Zi Gong 
广东,阳江,"7,813.40",242,309.96,877,2012,3.62,,,,,,,,,111.9578934,21.84523392,Guang Dong ,Yang Jiang 
贵州,毕节,"26,844.45",654,243.49,872,2012,1.33,,,,,,,,121.7,105.2824173,27.30629539,Gui Zhou ,Bi Jie 
山西,朔州,"10,662",153,143.17,855,2012,5.6,,,,,,,,,112.4232712,39.31313324,Shan Xi ,Shuo Zhou 
浙江,舟山,"1,378.00",104,751.09,852,2012,8.23,,,,,,,,121,122.1016083,30.02004242,Zhe Jiang ,Zhou Shan 
江西,新余,"3,177.68",113,354.28,830,2012,7.38,,,,,,,,,114.9293823,27.80654716,Jiang Xi ,Xin Yu 
新疆,昌吉,"73,139.75",135,18.51,826,2012,6.1,,,,,,,,,87.304012,44.014577,Xin Jiang ,Chang Ji 
江西,抚州,"18,811.12",385,204.71,825,2012,2.14,,,,,,,,,116.35,28,Jiang Xi ,Fu Zhou 
内蒙,锡林郭勒,"201,494.00",102,5.05,820,2012,8.06,,,,,,,,,116.090996,43.944018,Nei Meng ,Xi Lin Guo Le
内蒙,巴彦淖尔,"65,788.00",174,26.48,816,2012,4.68,,,,,,,,,107.42,40.75,Nei Meng ,Ba Yan Nao Er 
河南,漯河,"2,693.72",247,916.39,812,2012,3.29,,,,,,,,,114.0410919,33.57250977,He Nan,Luo He 
新疆,克拉玛依,"8,654.08",27,30.87,810,2012,30.32,2,,,,,,,,84.86360931,45.59651184,Xin Jiang ,Ke La Ma Yi 
吉林,延边,"43,509.10",218,50.11,805,2012,3.69,,,,,,,,151.3,129.513228,42.904823,Ji Lin ,Yan Bian 
安徽,淮南,"2,585.13",229,885.84,782,2012,3.41,,,,,,,,,117.0207291,32.6166954,An Hui ,Huai Nan
内蒙,乌兰察布,"54,491.00",214,39.24,780,2012,3.65,,,,,,,,,113.12,40.98,Nei Meng ,Wu Lan Cha Bu 
四川,眉山,"7,139.86",302,422.99,775,2012,2.57,,,,,,,,,103.83146,30.050497,Si Chuan ,Mei Shan 
陕西,汉中,"27,101.39",342,126.05,772,2012,2.26,,,,,,,,,107.0343933,33.07814789,Shan Xi ,Han Zhong 
湖北,咸宁,"9,749.84",251,257.03,761,2012,3.04,,,,,,,,,114.2687378,29.89432716,Hu Bei ,Xian Ning 
安徽,宣城,"12,323.43",258,209.36,758,2012,2.94,,,,,,,,,118.7414932,30.95085907,An Hui ,Xuan Cheng 
四川,广安,"6,301.41",372,590.82,752,2012,2.02,,,,,,,,,106.63175,30.474428,Si Chuan ,Guang An 
广西,百色,"36,203.85",360,99.4,750,2012,2.08,,,,,,,,,110.1414719,22.63189697,Guang Xi ,Bai Se
广东,梅州,"15,908.00",424,266.54,746,2012,1.76,,,,,,,,,116.1079407,24.31450081,Guang Dong ,Mei Zhou 
四川,攀枝花,"7,440.40",114,153.78,740,2012,6.47,,,,,,,,,101.6984177,26.55479813,Si Chuan ,Pan Zhi Hua 
贵州,六盘水,"9,965.37",296,296.58,738,2012,2.5,,,,,,,,,104.8732529,26.5767746,Gui Zhou ,Liu Pan Shui 
广西,钦州,"10,820.85",320,295.72,736,2012,2.3,,,,,,,,,108.6147003,21.94986916,Guang Xi ,Qin Zhou 
江西,萍乡,"3,823.99",184,481.09,733,2012,3.98,,,,,,,,,113.841423,27.63298988,Jiang Xi ,Ping Xiang 
安徽,亳州,"8,522.58",510,598.41,716,2012,1.4,,,,,,,,,115.7709,33.879292,An Hui ,Bo Zhou 
辽宁,葫芦岛,"10,414.94",279,267.6,715,2012,2.57,,,,,,,,,120.83,40.72,Liao Ning ,Hu Lu Dao 
广东,潮州,"3,100.22",267,861.18,706,2012,2.64,,,,,,,,,116.63666,23.667706,Guang Dong ,Chao Zhou 
广西,贵港,"10,605.44",423,398.43,690,2012,1.63,,,,,,,,,109.60844,23.099092,Guang Xi ,Gui Gang 
四川,遂宁,"5,323.85",356,667.96,682,2012,1.92,,,,,,,,,105.5697098,30.50339317,Si Chuan ,Sui Ning 
云南,大理,"28,299.43",348,122.97,672,2012,1.93,,,,,,1,,177.6,100.22998,25.59157,Yun Nan,Da Li 
黑龙江,佳木斯,"32,704.00",255,78.04,660,2012,2.59,,,,,特,,,,130.3623199,46.81366348,Hei Long Jiang ,Jia Mu Si 
吉林,白山,"17,473.73",130,74.35,654,2012,5.03,,,,,,,,,126.42,41.93,Ji Lin ,Bai Shan 
吉林,白城,"25,692.29",203,78.98,650,2012,3.2,,,,,,,,,122.8395767,45.61641693,Ji Lin ,Bai Cheng 
山东,莱芜,"2,246.21",127,564.42,630,2012,4.97,,,,,,,,,117.66173,36.205116,Shan Dong ,Lai Wu 
江西,景德镇,"5,256.23",155,295.73,628,2012,4.04,,,,,,,,,117.1179428,29.19516754,Jiang Xi ,Jing De Zhen 
山西,忻州,"25,180",307,122.03,621,2012,2.02,,,,,,,,,112.7315521,38.39920807,Shan Xi ,Xin Zhou 
安徽,淮北,"2,740.91",205,747.93,621,2012,3.03,,,,,,,,,116.7874985,33.9704895,An Hui ,Huai Bei 
安徽,铜陵,"1,064.47",72,676.39,621,2012,8.63,,,,,,,,,117.813179,30.92524719,An Hui ,Tong Ling 
广东,河源,"15,826.00",295,186.59,615,2012,2.08,,,,,,,,,114.6938171,23.73484039,Guang Dong ,He Yuan 
广东,汕尾,"5,271.00",294,556.96,610,2012,2.08,,,,,,,,,115.3640137,22.77868652,Guang Dong ,Shan Wei
山西,阳泉,"4,451.91",131,295.09,602,2012,4.58,,,,,,,,,113.5742569,37.86065674,Shan Xi ,Yang Quan 
广西,北海,"4,016.07",155,386.25,600,2012,3.87,,,,,,,,228.2,109.1191711,21.47979736,Guang Xi ,Bei Hai 
吉林,辽源,"5,130.73",123,240.5,600,2012,4.86,,,,,,,,,125.1372833,42.90859222,Ji Lin ,Liao Yuan 
海南,三亚,"1,919.58",61,320.2,596,2018,0,2,,20,,,,2003.9,2003.9,109.5078201,18.23404312,Hai Nan,San Ya 
湖北,随州,"9,614.94",220,228.71,591,2012,2.69,,,,,,,,,113.36982,31.715105,Hu Bei ,Sui Zhou 
黑龙江,鸡西,"22,488.46",186,82.81,582,2012,3.13,,,,,,,,,130.9477539,45.2970047,Hei Long Jiang ,Ji Xi 
广西,来宾,"13,411.06",227,169.4,580,2012,2.55,,,,,,,,,109.23294,23.73144,Guang Xi ,Lai Bin 
甘肃,酒泉,"193,973.78",99,5.11,576,2012,5.82,,,,,,,,,98.51111603,39.74496841,Gan Su ,Jiu Quan 
云南,楚雄,"28,436.87",268,94.38,570,2012,2.12,,,,,,,,,101.54615,25.0329,Yun Nan,Chu Xiong 
海南,儋州,"3,400.00",96,280.91,566,2018,5.93,,,,,,,,,109.576782,19.517486,Hai Nan,Dan Zhou 
黑龙江,双鸭山,"22,036.19",146,66.37,565,2012,3.86,,,,,,,,,131.1521606,46.6376915,Hei Long Jiang ,Shuang Ya Shan 
内蒙,乌海,"1,754.00",48,271.95,563,2012,11.8,,,,,,,,,106.8148727,39.67420197,Nei Meng ,Wu Hai 
湖北,鄂州,"1,593.54",103,646.99,560,2012,5.44,,,,,,,,,114.8811874,30.40276718,Hu Bei ,E Zhou 
辽宁,阜新,"10,354.99",193,186.45,560,2012,2.9,,,,,,,,,121.6488037,42.00795364,Liao Ning ,Fu Xin 
云南,昭通,"22,439.76",525,234.06,556,2012,1.06,,,,,,,,,103.7149277,27.34227943,Yun Nan,Zhao Tong 
河南,鹤壁,"2,136.85",142,664.06,553,2012,3.9,,,,,,,,,114.1546707,35.94008255,He Nan,He Bi 
